,_startDate,_endDate,_value
95866,2020-01-18 11:10:13 +0200,2020-01-18 11:24:02 +0200,HKCategoryValueSleepAnalysisAsleep
95867,2020-01-18 06:11:05 +0200,2020-01-18 13:05:46 +0200,HKCategoryValueSleepAnalysisInBed
95868,2020-01-18 11:37:51 +0200,2020-01-18 13:10:28 +0200,HKCategoryValueSleepAnalysisAsleep
95869,2020-01-18 13:27:03 +0200,2020-01-18 13:39:30 +0200,HKCategoryValueSleepAnalysisAsleep
95870,2020-01-20 05:05:14 +0200,2020-01-20 07:32:51 +0200,HKCategoryValueSleepAnalysisAsleep
95871,2020-01-20 07:57:12 +0200,2020-01-20 10:40:03 +0200,HKCategoryValueSleepAnalysisAsleep
95872,2020-01-20 04:02:11 +0200,2020-01-20 11:38:46 +0200,HKCategoryValueSleepAnalysisInBed
95873,2020-01-20 10:55:16 +0200,2020-01-20 12:38:46 +0200,HKCategoryValueSleepAnalysisAsleep
95874,2020-01-27 07:04:48 +0200,2020-01-27 12:37:18 +0200,HKCategoryValueSleepAnalysisAsleep
95875,2020-01-27 06:02:00 +0200,2020-01-27 13:01:07 +0200,HKCategoryValueSleepAnalysisInBed
95876,2020-01-27 13:38:46 +0200,2020-01-27 13:49:57 +0200,HKCategoryValueSleepAnalysisAsleep
95877,2020-02-01 03:47:44 +0200,2020-02-01 07:34:13 +0200,HKCategoryValueSleepAnalysisAsleep
95878,2020-02-01 07:54:06 +0200,2020-02-01 08:25:53 +0200,HKCategoryValueSleepAnalysisAsleep
95879,2020-02-01 03:45:45 +0200,2020-02-01 08:43:46 +0200,HKCategoryValueSleepAnalysisInBed
95880,2020-02-11 02:30:50 +0200,2020-02-11 05:41:33 +0200,HKCategoryValueSleepAnalysisAsleep
95881,2020-02-11 01:27:26 +0200,2020-02-11 09:58:17 +0200,HKCategoryValueSleepAnalysisInBed
95882,2020-02-11 06:19:01 +0200,2020-02-11 10:58:17 +0200,HKCategoryValueSleepAnalysisAsleep
95883,2020-02-12 02:59:43 +0200,2020-02-12 04:55:50 +0200,HKCategoryValueSleepAnalysisAsleep
95884,2020-02-12 01:56:38 +0200,2020-02-12 09:41:03 +0200,HKCategoryValueSleepAnalysisInBed
95885,2020-02-12 05:17:30 +0200,2020-02-12 10:27:07 +0200,HKCategoryValueSleepAnalysisAsleep
95886,2020-02-13 05:44:47 +0200,2020-02-13 08:18:17 +0200,HKCategoryValueSleepAnalysisAsleep
95887,2020-02-13 04:42:27 +0200,2020-02-13 10:33:58 +0200,HKCategoryValueSleepAnalysisInBed
95888,2020-02-13 08:52:16 +0200,2020-02-13 11:14:02 +0200,HKCategoryValueSleepAnalysisAsleep
95889,2020-02-24 07:09:59 +0200,2020-02-24 08:25:01 +0200,HKCategoryValueSleepAnalysisAsleep
95890,2020-02-24 06:03:43 +0200,2020-02-24 11:16:23 +0200,HKCategoryValueSleepAnalysisInBed
95891,2020-02-24 08:46:54 +0200,2020-02-24 11:51:23 +0200,HKCategoryValueSleepAnalysisAsleep
95892,2020-04-12 00:35:17 +0200,2020-04-12 09:00:45 +0200,HKCategoryValueSleepAnalysisInBed
95893,2020-04-12 09:00:50 +0200,2020-04-12 09:02:01 +0200,HKCategoryValueSleepAnalysisInBed
95894,2020-04-13 00:57:31 +0200,2020-04-13 09:02:10 +0200,HKCategoryValueSleepAnalysisInBed
95895,2020-04-14 00:17:33 +0200,2020-04-14 09:01:39 +0200,HKCategoryValueSleepAnalysisInBed
95896,2020-04-14 09:03:32 +0200,2020-04-14 09:10:38 +0200,HKCategoryValueSleepAnalysisInBed
95897,2020-04-15 01:08:59 +0200,2020-04-15 09:03:39 +0200,HKCategoryValueSleepAnalysisInBed
95898,2020-04-16 01:09:48 +0200,2020-04-16 08:59:24 +0200,HKCategoryValueSleepAnalysisInBed
95899,2020-04-17 01:26:02 +0200,2020-04-17 09:00:30 +0200,HKCategoryValueSleepAnalysisInBed
95900,2020-04-18 03:28:26 +0200,2020-04-18 09:40:23 +0200,HKCategoryValueSleepAnalysisInBed
95901,2020-04-18 09:40:44 +0200,2020-04-18 09:44:15 +0200,HKCategoryValueSleepAnalysisInBed
95902,2020-04-18 09:47:00 +0200,2020-04-18 09:47:06 +0200,HKCategoryValueSleepAnalysisInBed
95903,2020-04-19 00:00:00 +0200,2020-04-19 09:35:46 +0200,HKCategoryValueSleepAnalysisInBed
95904,2020-04-19 09:36:08 +0200,2020-04-19 09:37:11 +0200,HKCategoryValueSleepAnalysisInBed
95905,2020-04-20 01:20:41 +0200,2020-04-20 08:46:50 +0200,HKCategoryValueSleepAnalysisInBed
95906,2020-04-21 01:20:00 +0200,2020-04-21 07:45:30 +0200,HKCategoryValueSleepAnalysisInBed
95907,2020-04-22 01:20:00 +0200,2020-04-22 07:46:58 +0200,HKCategoryValueSleepAnalysisInBed
95908,2020-04-23 00:28:47 +0200,2020-04-23 08:28:16 +0200,HKCategoryValueSleepAnalysisInBed
95909,2020-04-23 08:29:41 +0200,2020-04-23 08:30:09 +0200,HKCategoryValueSleepAnalysisInBed
95910,2020-04-24 01:20:00 +0200,2020-04-24 09:20:37 +0200,HKCategoryValueSleepAnalysisInBed
95911,2020-04-25 01:20:00 +0200,2020-04-25 04:01:59 +0200,HKCategoryValueSleepAnalysisInBed
95912,2020-04-26 01:20:00 +0200,2020-04-26 08:00:53 +0200,HKCategoryValueSleepAnalysisInBed
