,acc_x,acc_y,acc_z,acc_abs,labelWalkingStandingstill,labelSitting,labelWalking
1970-01-01 00:02:00.018529375,-0.02189496961978243,0.013631457454963672,-0.06641459104822954,0.8604521562505989,0,0,0
1970-01-01 00:02:05.018529375,-0.025608668924975292,0.023926422071422905,-0.0025552712595623677,0.49906605885830674,0,0,0
1970-01-01 00:02:10.018529375,-0.02450273209845409,0.027608484195906186,-0.04021777248276387,0.4097340327391018,0,0,0
1970-01-01 00:02:15.018529375,0.050497271566524934,0.05727897557043692,0.07087375557091719,0.4823944867045908,0,0,0
1970-01-01 00:02:20.018529375,-0.0033101041148529114,0.0532305840307996,-0.003149390259211577,0.7209002627702196,0,0,0
1970-01-01 00:02:25.018529375,-0.0787509297824243,-0.28183320452329125,0.03824938113935658,2.019805825481474,0,0,0
1970-01-01 00:02:30.018529375,-0.030618257496461073,-0.3073141201889002,0.07903094410277883,2.065642564772275,0,0,0
1970-01-01 00:02:35.018529375,0.06238608135877846,0.08700125272703234,0.06683525233559082,0.8041063939696207,0,0,0
1970-01-01 00:02:40.018529375,0.07483329440712176,0.08373986374143273,-0.005954950692769058,0.5326610249112376,0,0,0
1970-01-01 00:02:45.018529375,-0.01647417891466115,0.048803984621474096,0.014734613114504785,0.6037008832829283,0,0,0
1970-01-01 00:02:50.018529375,0.04541996381344014,0.07227118747868246,0.04810057136715369,0.6791354378822155,0,0,0
1970-01-01 00:02:55.018529375,-0.09260852245754693,-0.01807842835869899,-0.10847125654512994,0.8706477818627745,0,0,0
1970-01-01 00:03:00.018529375,-0.0018692276302403256,0.036389799985329783,0.012644946463588623,0.657172366953453,0,0,0
1970-01-01 00:03:05.018529375,-0.02138038654633467,0.027806435200205454,-0.010314062125517937,0.6169267035113147,0,0,0
1970-01-01 00:03:10.018529375,0.058896533663568666,0.06549860268611576,-0.0010586517978662703,0.6683151651005589,0,0,0
1970-01-01 00:03:15.018529375,0.016934066393819575,0.05371916850419841,-0.24113233577871257,1.160647208632136,0,0,0
1970-01-01 00:03:20.018529375,-0.012834627847952097,0.017990341976327946,-0.1602690955750579,0.8136222692153494,0,0,0
1970-01-01 00:03:25.018529375,0.012826212308451788,0.022729444612169532,-0.019454233938742013,1.094759397331454,0,0,0
1970-01-01 00:03:30.018529375,-0.055420876909964084,-0.04759752002666707,-0.07309723521690756,1.195274690766008,0,0,0
1970-01-01 00:03:35.018529375,-0.020771020978639122,0.021544669466427864,-0.007331357153558482,0.18270062910415172,0,0,0
1970-01-01 00:03:40.018529375,-0.0006733063001796426,0.030144022471539317,-0.023697021671613368,0.3761048785353094,0,0,0
1970-01-01 00:03:45.018529375,-0.034648876079246604,0.05582685869657651,0.0699075345253745,0.7631417765417928,0,0,0
1970-01-01 00:03:50.018529375,0.1784566597714587,-0.23628490304800162,-0.02673553989756832,1.43844543004994,0,0,0
1970-01-01 00:03:55.018529375,0.007948544623824548,-0.002823489576399199,0.02592721244991018,0.46859109418173656,0,0,0
1970-01-01 00:04:00.018529375,0.014738491189481034,-0.0005146117282643519,0.02676881352413692,0.44750179099982035,0,0,0
1970-01-01 00:04:05.018529375,-0.005538344637718325,0.009213294925532932,0.03737105431234542,0.27433098242163345,0,0,0
1970-01-01 00:04:10.018529375,-0.03370641628472856,-0.0948343521758949,0.02009164104694072,0.9337911180488622,0,0,0
1970-01-01 00:04:15.018529375,-0.018201240020958086,-0.06785667519456906,0.013057871281188124,0.6388129929686226,0,0,0
