"Time","lat","long","alt","alt_WGS84","speed","dir","dist","horizontal_acc","vertical_acc","sattelites"
5.799652326E1,5.234154730E1,4.867389078E0,9.218519041E-1,4.363914874E1,3.164794667E0,7.552178635E1,4.082789087E-1,4.721734525E0,4.721734525E0,-1.000000000E0
5.899650407E1,5.234155420E1,4.867494835E0,3.635595674E-1,4.308078601E1,4.339779217E0,7.447137705E1,4.146512061E-1,4.713437392E0,4.713437392E0,-1.000000000E0
5.999648559E1,5.234155126E1,4.867588511E0,4.202611223E-1,4.313743797E1,4.790437449E0,8.097873636E1,4.219862730E-1,4.717087360E0,4.717087360E0,-1.000000000E0
6.099646842E1,5.234154671E1,4.867696226E0,7.837009626E-1,4.350082242E1,5.374243435E0,8.493640258E1,4.264933084E-1,4.725325261E0,4.725325261E0,-1.000000000E0
6.199645102E1,5.234154301E1,4.867762292E0,7.130014170E-1,4.343009018E1,4.166416061E0,8.643247189E1,4.313399954E-1,4.727155852E0,4.727155852E0,-1.000000000E0
6.299643528E1,5.234154305E1,4.867833635E0,9.870198118E-1,4.370406759E1,3.757569819E0,8.077157245E1,4.368487128E-1,4.724993752E0,4.724993752E0,-1.000000000E0
6.399641883E1,5.234155099E1,4.867913674E0,2.573389150E-1,4.297432960E1,4.201125922E0,7.501478394E1,4.439626269E-1,4.719613441E0,4.719613441E0,-1.000000000E0
6.499640346E1,5.234157679E1,4.868009503E0,1.247381624E-1,4.284163758E1,5.634765586E0,5.992785260E1,4.484561595E-1,4.712922346E0,4.712922346E0,-1.000000000E0
6.599638796E1,5.234160661E1,4.868054147E0,2.911481494E-1,4.300798000E1,4.665286541E0,4.059660081E1,4.519481078E-1,4.711167354E0,4.711167354E0,-1.000000000E0
6.699637401E1,5.234163801E1,4.868054875E0,6.364850523E-1,4.335327230E1,3.866250805E0,7.146882495E0,4.575040879E-1,4.716788834E0,4.716788834E0,-1.000000000E0
6.799636042E1,5.234168781E1,4.868048223E0,1.044033303E0,4.376075429E1,4.793647748E0,3.506316277E2,4.613788248E-1,4.722929371E0,4.722929371E0,-1.000000000E0
6.899634564E1,5.234172219E1,4.868057462E0,-1.165360827E-1,4.260013122E1,4.282417550E0,3.580789576E2,4.681412838E-1,4.734000078E0,4.734000078E0,-1.000000000E0
6.999633241E1,5.234178202E1,4.868075345E0,8.822146831E-1,4.359878755E1,5.698592885E0,3.598307828E2,4.736654833E-1,4.736425045E0,4.736425045E0,-1.000000000E0
7.099631977E1,5.234183156E1,4.868081380E0,6.670034258E-1,4.338350311E1,5.823628633E0,3.572860615E2,4.798226565E-1,4.737004761E0,4.737004761E0,-1.000000000E0
7.199630690E1,5.234188553E1,4.868101695E0,1.149303734E0,4.386571584E1,6.127900449E0,3.596559510E2,4.851266754E-1,4.746922819E0,4.746922819E0,-1.000000000E0
7.299629474E1,5.234193225E1,4.868117453E0,9.411875810E-1,4.365752490E1,5.682454493E0,9.663497518E-1,4.899247087E-1,4.750586586E0,4.750586586E0,-1.000000000E0
7.399628341E1,5.234197535E1,4.868120633E0,-1.253219377E-1,4.259095291E1,5.159789718E0,3.563489918E2,4.979073644E-1,4.749180948E0,4.749180948E0,-1.000000000E0
7.499627113E1,5.234204666E1,4.868134272E0,1.407401857E0,4.412356854E1,6.118702660E0,3.565124376E2,5.035294011E-1,4.736704732E0,4.736704732E0,-1.000000000E0
