,"x","y","z","abs"
1.741783583E0,-1.635939404E0,-1.321510206E0,3.395010352E-1,2.130245974E0
1.751758583E0,-1.685619979E0,-1.442644926E0,2.260328919E-1,2.230163664E0
1.761732583E0,-1.790645913E0,-1.456315717E0,9.866650164E-2,2.310195518E0
1.771707583E0,-1.806482658E0,-1.466735455E0,-6.203077197E-2,2.327775828E0
1.781682583E0,-1.497708595E0,-1.614876125E0,-9.338471174E-2,2.204467427E0
1.791656583E0,-1.207452225E0,-1.674282667E0,4.482826352E-1,2.112373226E0
1.801631583E0,-1.071352433E0,-1.532778586E0,1.118325017E0,2.178957796E0
1.811606583E0,-8.389715119E-1,-1.786002493E0,1.372546166E0,2.403655774E0
1.821581583E0,-5.647577092E-1,-2.424668131E0,1.198918360E0,2.763217698E0
1.831555583E0,-2.216353472E-1,-2.946765139E0,7.590153694E-1,3.051008250E0
1.841530583E0,4.663139865E-2,-3.255862115E0,3.724676371E-1,3.277429593E0
1.851505583E0,6.625655472E-2,-3.391662821E0,1.676420116E-1,3.396449686E0
1.861479583E0,-1.478351533E-1,-3.595352625E0,1.602961546E-1,3.601959271E0
1.871454583E0,-4.802296288E-1,-3.829806969E0,1.506692988E-1,3.862737780E0
1.881429583E0,-6.643556723E-1,-4.145897215E0,1.995654702E-1,4.203529297E0
1.891403583E0,-3.453396262E-1,-4.601740007E0,2.542562324E-1,4.621679001E0
1.901378583E0,3.423490678E-1,-4.928368982E0,2.139098597E-1,4.944874229E0
1.911353583E0,4.964593068E-1,-5.096819079E0,4.107090122E-1,5.137384399E0
1.921327583E0,4.059429467E-2,-5.215805240E0,9.774942434E-1,5.306766171E0
1.931302583E0,-5.916746356E-1,-5.292258754E0,1.488987034E0,5.529481348E0
1.941277583E0,-1.002967638E0,-5.354765489E0,1.722606688E0,5.713740572E0
1.951252583E0,-9.241153041E-1,-5.574924853E0,1.702125646E0,5.901780064E0
1.961226583E0,-4.824980561E-1,-5.842668858E0,1.552393656E0,6.064611267E0
1.971201583E0,-1.772250134E-1,-5.940903835E0,1.512505705E0,6.132978117E0
1.981176583E0,1.794839390E-1,-5.900409527E0,1.636370782E0,6.125745376E0
1.991150583E0,5.784473567E-1,-5.749284146E0,1.827433231E0,6.060394521E0
2.001125583E0,7.140195832E-1,-5.586489476E0,2.017005225E0,5.982223559E0
2.011100583E0,6.336456572E-1,-5.478241142E0,2.049857222E0,5.883412909E0
2.021074583E0,4.486817077E-1,-5.433658462E0,1.955367386E0,5.792186217E0
2.031049583E0,3.197798386E-1,-5.145190755E0,1.714046364E0,5.432605451E0
2.041024583E0,2.673955107E-1,-4.852247005E0,1.299079410E0,5.030249365E0
2.050998583E0,4.658700366E-1,-4.829335860E0,9.297990900E-1,4.940045150E0
2.060973583E0,5.409950633E-1,-4.489752379E0,7.191268337E-1,4.579049627E0
2.070948583E0,6.098433964E-1,-4.246260871E0,9.387827522E-1,4.391349839E0
2.080922583E0,6.881906775E-1,-4.425971535E0,1.442306373E0,4.705643220E0
2.090897583E0,4.783213900E-1,-4.482044287E0,1.987192612E0,4.926098539E0
2.100872583E0,3.653881207E-2,-4.370489937E0,2.223462809E0,4.903703115E0
2.110847583E0,-3.970841226E-1,-4.314420986E0,2.161036765E0,4.841692281E0
2.120821583E0,-8.731641287E-1,-3.896301798E0,1.662051753E0,4.325043275E0
2.130796583E0,-1.405258560E0,-3.498262240E0,1.128345391E0,3.935194232E0
2.140771583E0,-2.094779772E0,-3.412602870E0,7.953891438E-1,4.082475294E0
2.150745583E0,-3.074206958E0,-3.183155204E0,7.346751648E-1,4.485863693E0
2.160720583E0,-4.016854720E0,-2.903649233E0,8.065988410E-1,5.021643396E0
2.170695583E0,-4.562812169E0,-2.751863700E0,9.524044257E-1,5.412862728E0
2.180669583E0,-4.510321422E0,-2.832371382E0,1.067359516E0,5.431812157E0
2.190644583E0,-3.941790212E0,-2.486445426E0,1.116794801E0,4.792426479E0
2.200619583E0,-3.358896486E0,-1.947909555E0,1.135034021E0,4.045347880E0
2.210594583E0,-3.132048785E0,-1.488553463E0,8.930078244E-1,3.580919432E0
2.220568583E0,-3.141874446E0,-9.440098706E-1,5.126563865E-1,3.320443682E0
2.230543583E0,-3.237801527E0,-7.893624187E-1,1.449232399E-1,3.335783941E0
2.240518583E0,-3.244442210E0,-8.603824076E-1,-2.664242882E-1,3.367141970E0
2.250492583E0,-3.079717959E0,-7.951552552E-1,-5.726090580E-1,3.231844013E0
2.260467583E0,-2.811486881E0,-4.728368479E-1,-3.447553432E-1,2.871739789E0
2.270442583E0,-2.441649907E0,-1.291693792E-1,9.958159089E-2,2.447091230E0
2.280416583E0,-2.145592514E0,2.527856576E-1,3.094352371E-1,2.182479780E0
2.290391583E0,-2.055883070E0,5.831574351E-1,3.515065384E-1,2.165706499E0
2.300366583E0,-2.226537567E0,7.961910895E-1,3.708520514E-1,2.393516458E0
2.310340583E0,-2.295867418E0,9.642643332E-1,4.078590792E-1,2.523323589E0
2.320315583E0,-2.282767316E0,9.793864024E-1,3.237585765E-1,2.505003785E0
2.330290583E0,-2.255538733E0,1.130854431E0,-2.688725173E-2,2.523293413E0
2.340265583E0,-1.923413522E0,1.367107379E0,-5.729786021E-1,2.428334129E0
2.350239583E0,-1.524695980E0,1.438501589E0,-1.014141667E0,2.328619328E0
2.360214583E0,-1.137743913E0,1.575558278E0,-1.360068208E0,2.372051987E0
2.370189583E0,-9.468479629E-1,1.974883930E0,-1.296380335E0,2.545051979E0
2.380163583E0,-8.515595439E-1,2.202000896E0,-8.240925407E-1,2.500617947E0
2.390138583E0,-8.829329257E-1,2.353911851E0,-4.679304492E-1,2.557231014E0
2.400113583E0,-1.051274703E0,2.574514434E0,-2.844676262E-1,2.795393514E0
2.410087583E0,-1.208159153E0,2.675279209E0,-5.103835738E-1,2.979472902E0
2.420062583E0,-1.345018352E0,2.781145095E0,-8.099814552E-1,3.193730164E0
2.430037583E0,-1.284373662E0,2.870396410E0,-8.043622810E-1,3.245888158E0
2.440012583E0,-1.026291889E0,2.742847294E0,-5.089808267E-1,2.972464937E0
2.449986583E0,-4.970883210E-1,2.839168477E0,-2.823895258E-1,2.896155777E0
2.459961583E0,1.943827906E-1,2.869054474E0,-2.453058994E-1,2.886075749E0
2.469936917E0,4.874917245E-1,3.058910642E0,-3.671051556E-1,3.119190391E0
2.479910917E0,5.617311904E-1,3.420284357E0,-5.329485637E-1,3.506839201E0
2.489885917E0,5.355169532E-1,3.640542831E0,-5.645165116E-1,3.722769051E0
2.499860917E0,2.548427081E-1,3.717077329E0,-4.783425862E-1,3.756383940E0
2.509834917E0,-1.325300664E-2,3.688663954E0,-5.076564324E-1,3.723457058E0
2.519809917E0,-4.592169285E-2,3.718440900E0,-4.624843526E-1,3.747372854E0
2.529784917E0,1.926034098E-1,3.869848117E0,-4.555863923E-1,3.901330476E0
2.539758917E0,4.509691384E-1,3.811370698E0,-9.389400423E-2,3.839106126E0
2.549733917E0,7.223110811E-1,3.971789352E0,1.195223504E-1,4.038703944E0
2.559708917E0,9.019039976E-1,4.021430751E0,4.723380804E-3,4.121329690E0
2.569683917E0,6.532386535E-1,3.645350119E0,-1.455868989E-1,3.706277617E0
2.579657917E0,3.613579273E-3,3.358836553E0,-3.328702927E-1,3.375292384E0
2.589632917E0,-7.025699309E-1,3.065226512E0,-4.056687123E-1,3.170770440E0
2.599607917E0,-1.120535118E0,2.741875779E0,-5.080721694E-1,3.005265224E0
2.609581917E0,-9.267844118E-1,2.434789369E0,-4.748915595E-1,2.648140972E0
2.619556917E0,-2.651153889E-1,2.477385457E0,-1.483795291E-1,2.495944983E0
2.629531917E0,4.730328758E-1,2.611655363E0,-7.888712525E-2,2.655320511E0
2.639505917E0,6.823767909E-1,2.501317819E0,-1.760029453E-1,2.598693124E0
2.649480917E0,3.822612847E-1,2.313778317E0,-4.386335599E-1,2.385810803E0
2.659455917E0,1.368561289E-1,1.993144493E0,-9.093847060E-1,2.195070639E0
2.669429917E0,3.416747376E-2,1.583037744E0,-1.266710978E0,2.027740766E0
2.679404917E0,8.715077586E-2,1.235331603E0,-1.189047090E0,1.716820436E0
2.689379917E0,1.634824486E-1,1.232617618E0,-8.782962298E-1,1.522326171E0
2.699354917E0,6.019313827E-2,1.252951895E0,-4.437019265E-1,1.330557426E0
2.709328917E0,-7.761959508E-2,1.124290054E0,-8.605347276E-3,1.126999104E0
2.719303917E0,-5.793947518E-2,9.866977608E-1,3.708719319E-1,1.055687190E0
2.729278917E0,3.478786334E-1,9.523585251E-1,4.868157864E-1,1.124720371E0
2.739252917E0,1.212097107E0,8.359734982E-1,3.506048977E-1,1.513590064E0
2.749227917E0,2.036534341E0,7.085413268E-1,2.080778468E-1,2.166286990E0
2.759202917E0,2.298020363E0,7.255631563E-1,-8.775735140E-2,2.411439578E0
2.769176917E0,2.208336939E0,5.035747835E-1,-6.027537936E-1,2.343854034E0
2.779151917E0,1.981728681E0,3.718799919E-1,-1.112725139E0,2.302976450E0
2.789126917E0,1.729021084E0,5.771771953E-1,-1.269991851E0,2.221604538E0
2.799101917E0,1.524890108E0,4.062481713E-1,-9.650806046E-1,1.849785931E0
2.809075917E0,1.101869783E0,8.615930736E-2,-3.103169972E-1,1.147970855E0
2.819050917E0,6.920378530E-1,1.477644020E-1,3.131528968E-1,7.738316647E-1
2.829025917E0,6.424616504E-1,4.249268094E-1,6.597664851E-1,1.014204901E0
2.838999917E0,7.006388149E-1,5.023065224E-1,7.846787989E-1,1.165730419E0
2.848974917E0,6.624787161E-1,4.934231400E-1,6.865484869E-1,1.074101145E0
2.858949917E0,4.338313879E-1,7.012688524E-1,4.443796188E-1,9.367288412E-1
2.868923917E0,2.591613154E-1,9.741768256E-1,2.570319057E-2,1.008387688E0
2.878898917E0,1.073715439E-1,1.009520028E0,-1.343286699E-1,1.024062267E0
2.888873917E0,1.111071838E-1,9.674703616E-1,-2.654285073E-2,9.741910643E-1
2.898847917E0,6.186704993E-2,1.250800412E0,5.016911030E-3,1.252339559E0
2.908822917E0,-9.823293060E-2,1.351050632E0,-1.377662480E-1,1.361604589E0
2.918797917E0,-1.275466307E-1,1.218657098E0,-4.753230840E-1,1.314277482E0
2.928772917E0,5.910953227E-1,1.025754238E0,-8.493969512E-1,1.457065756E0
2.938746917E0,1.634178515E0,8.129626581E-1,-1.017328985E0,2.089594689E0
2.948721917E0,2.409426632E0,5.405145684E-1,-1.256097112E0,2.770428243E0
2.958696917E0,2.772468411E0,1.296199071E-1,-1.798616983E0,3.307326029E0
2.968670917E0,2.771231140E0,-1.813037387E-1,-2.463957034E0,3.712637519E0
2.978645917E0,2.866791601E0,-6.629087788E-1,-3.336308400E0,4.448471184E0
2.988620917E0,3.054974589E0,-1.253324363E0,-4.198596708E0,5.341526562E0
2.998594917E0,2.904935035E0,-1.648428910E0,-4.709169731E0,5.773408438E0
3.008569917E0,2.273721966E0,-2.009376948E0,-4.751322894E0,5.637594925E0
3.018544917E0,1.682438363E0,-2.593262654E0,-4.377018646E0,5.358535459E0
3.028518917E0,1.520185292E0,-3.172205708E0,-3.474337188E0,4.944175489E0
3.038493917E0,1.381028137E0,-3.329361908E0,-2.225858413E0,4.236311497E0
3.048468917E0,1.239620097E0,-3.890342900E0,-1.326340299E0,4.293087986E0
3.058443917E0,1.398977043E0,-5.056862715E0,-8.949134320E-1,5.322580891E0
3.068417917E0,1.891832418E0,-6.050896393E0,-9.235642040E-1,6.406664335E0
3.078392917E0,1.584597635E0,-6.484411300E0,-4.145623273E-1,6.688079059E0
3.088367917E0,4.916166428E-1,-6.399519085E0,7.428027946E-1,6.461214083E0
3.098341917E0,-5.542167874E-1,-6.298994923E0,2.134049526E0,6.673729142E0
3.108316917E0,-7.471066377E-1,-6.317415406E0,3.284809633E0,7.159460878E0
3.118291917E0,-4.889149368E-2,-6.579049655E0,3.528449661E0,7.465670884E0
3.128265917E0,8.817633364E-1,-6.897182626E0,3.304318868E0,7.698516606E0
3.138240917E0,1.656885885E0,-7.284545460E0,3.130182939E0,8.099871519E0
3.148215917E0,1.471036520E0,-7.623940660E0,3.482154331E0,8.509630921E0
3.158190917E0,5.965899512E-1,-7.701792828E0,4.152639931E0,8.770287951E0
3.168164917E0,-2.474747778E-1,-7.668169584E0,4.636383006E0,8.964268845E0
3.178139917E0,-9.449347539E-1,-7.660975170E0,4.815678518E0,9.098032855E0
