Time,x,y,z,abs
2.395868083E0,6.776267886E-1,4.156736851E0,-1.129581332E0,4.360457923E0
2.405843083E0,7.858487368E-1,5.264861584E0,-1.371827006E0,5.497111520E0
2.415818083E0,8.811499476E-1,6.225024700E0,-1.561098933E0,6.477992562E0
2.425793083E0,8.995914459E-1,6.959794521E0,-1.677492142E0,7.215399118E0
2.435768083E0,8.642979264E-1,7.354988575E0,-1.745544672E0,7.608534290E0
2.445742083E0,8.478334546E-1,7.250138760E0,-1.704646230E0,7.495942394E0
2.455717083E0,7.928375602E-1,6.918999195E0,-1.564493418E0,7.137841474E0
2.465692083E0,6.930977702E-1,6.492530346E0,-1.419336677E0,6.681904774E0
2.475667083E0,5.843158960E-1,6.187858105E0,-1.320766449E0,6.354166901E0
2.485641083E0,4.527916312E-1,5.886777878E0,-1.223685026E0,6.029641705E0
2.495616083E0,3.361273408E-1,5.496090889E0,-1.090649247E0,5.613333451E0
2.505590708E0,3.583445251E-1,4.961987495E0,-9.922362566E-1,5.072894981E0
2.515565708E0,5.549247265E-1,4.317062855E0,-8.568198085E-1,4.436114666E0
2.525540708E0,6.892589927E-1,3.878410101E0,-6.276730299E-1,3.988874065E0
2.535514708E0,6.743572354E-1,3.627043486E0,-4.603881240E-1,3.717816476E0
2.545489708E0,5.730078220E-1,3.253382206E0,-4.288079143E-1,3.331172462E0
2.555464708E0,5.180561543E-1,3.108716249E0,-4.740209281E-1,3.187035415E0
2.565439708E0,4.621911645E-1,3.190452099E0,-5.062359571E-1,3.263262189E0
2.575413708E0,3.845719993E-1,3.357819319E0,-5.752147436E-1,3.428369613E0
2.585388708E0,2.670423687E-1,3.670465231E0,-6.327569485E-1,3.734167644E0
2.595363708E0,1.068726480E-1,3.965436697E0,-6.638597250E-1,4.022041732E0
2.605338708E0,-6.916115433E-2,4.062929153E0,-7.606586218E-1,4.134099432E0
2.615312708E0,-2.005178481E-1,4.396876812E0,-7.955987453E-1,4.472774359E0
2.625287708E0,-3.921869099E-1,4.762665749E0,-8.107330799E-1,4.847069603E0
2.635262708E0,-5.593228936E-1,4.839104652E0,-7.915354371E-1,4.935210663E0
2.645237708E0,-6.152187586E-1,4.630067348E0,-6.124383211E-1,4.710742879E0
2.655212708E0,-5.229399800E-1,4.539944649E0,-3.023600876E-1,4.579954722E0
2.665186708E0,-4.236110151E-1,4.422310829E0,-1.099009290E-1,4.443912418E0
2.675161708E0,-3.456011713E-1,4.122706413E0,-5.231966078E-2,4.137497515E0
2.685136708E0,-2.816039324E-1,3.791868925E0,-2.576482669E-2,3.802398525E0
2.695111708E0,-2.038921118E-1,3.685278654E0,-7.398349047E-2,3.691656039E0
2.705085708E0,-1.445168257E-1,3.605179071E0,-1.663528979E-1,3.611907327E0
2.715060708E0,-7.861848921E-2,3.378914595E0,-1.734861732E-1,3.384278676E0
2.725035708E0,3.972899541E-2,3.094584465E0,-1.073230430E-1,3.096699798E0
2.735010708E0,2.012478411E-1,2.850706816E0,-5.212121177E-3,2.857806363E0
2.744985708E0,2.924442589E-1,3.110822201E0,4.536641762E-2,3.124867441E0
2.754959708E0,2.578197122E-1,3.657638073E0,-2.108104713E-2,3.666774016E0
2.764934708E0,2.722927332E-1,3.972868919E0,-9.039214253E-2,3.983214973E0
2.774909708E0,4.476107657E-1,4.026355267E0,2.156433649E-3,4.051159930E0
2.784884708E0,4.636778831E-1,3.894951344E0,2.001730055E-1,3.927558068E0
2.794858708E0,4.641029239E-1,3.512662888E0,2.688655257E-1,3.553375966E0
2.804833708E0,5.465610027E-1,3.090501070E0,2.697324455E-1,3.150028791E0
2.814808708E0,5.850657821E-1,2.990115643E0,2.341323644E-1,3.055799648E0
2.824783708E0,5.601686239E-1,3.160599470E0,1.695680916E-1,3.214332160E0
2.834757708E0,4.739386439E-1,3.415745735E0,2.063974738E-1,3.454639877E0
2.844732708E0,3.262365162E-1,3.701089859E0,3.049756885E-1,3.727935968E0
2.854707708E0,2.394211888E-1,3.902880907E0,3.864433765E-1,3.929267154E0
2.864682708E0,2.575640082E-1,3.984815836E0,4.272640646E-1,4.015924681E0
2.874657708E0,3.065462112E-1,3.870475531E0,4.309996963E-1,3.906444950E0
2.884631708E0,3.119803369E-1,3.618595600E0,3.491575420E-1,3.648763741E0
2.894606708E0,3.056904674E-1,3.425575495E0,3.215136826E-1,3.454183721E0
2.904581708E0,3.743867874E-1,3.308216095E0,3.208261132E-1,3.344755386E0
2.914556708E0,4.643044174E-1,3.209703684E0,3.052442074E-1,3.257445373E0
2.924530708E0,5.532875061E-1,3.273211241E0,2.295524329E-1,3.327571669E0
2.934505708E0,6.036713123E-1,3.357745409E0,1.713857949E-1,3.415881493E0
2.944480708E0,6.184464693E-1,3.416854382E0,1.614172608E-1,3.476122183E0
2.954455708E0,5.902393460E-1,3.342503309E0,1.739216000E-1,3.398670267E0
2.964430708E0,5.821063519E-1,3.236920834E0,1.924853474E-1,3.294473387E0
2.974404708E0,7.098784447E-1,3.138807058E0,1.982425749E-1,3.224180093E0
2.984379708E0,9.471823573E-1,3.122226715E0,1.982507408E-1,3.268754722E0
2.994354708E0,9.852027297E-1,3.268626451E0,1.477606744E-1,3.417071336E0
3.004329708E0,9.487730265E-1,3.458277702E0,3.993358836E-2,3.586286326E0
3.014303708E0,9.645924568E-1,3.725699425E0,-1.304088533E-1,3.850750742E0
3.024278708E0,1.015056252E0,4.005024433E0,-2.351335436E-1,4.138338760E0
3.034253708E0,1.055707812E0,4.279809475E0,-2.012850195E-1,4.412686686E0
3.044228708E0,1.101207018E0,4.558829784E0,-1.092291772E-1,4.691216997E0
3.054203708E0,1.167746544E0,4.781983376E0,-7.632848620E-2,4.923090801E0
3.064177708E0,1.238232374E0,4.853305340E0,-1.134116575E-1,5.010055323E0
3.074152708E0,1.307799459E0,4.583334923E0,-1.562145203E-1,4.768826000E0
3.084127708E0,1.272688627E0,4.021942616E0,-1.672164500E-1,4.221814786E0
3.094102708E0,9.106885791E-1,3.553975105E0,-7.957421243E-2,3.669662763E0
3.104076708E0,6.079772711E-1,3.271246672E0,-1.059759036E-2,3.327281692E0
3.114051708E0,6.634644866E-1,3.170644760E0,-7.453954965E-2,3.240174295E0
3.124026708E0,9.330484271E-1,3.474300385E0,-7.488590479E-2,3.598187103E0
3.134001708E0,1.256890297E0,4.068692684E0,-1.487683803E-1,4.261005211E0
3.143976708E0,1.554051518E0,4.582311153E0,-1.505486071E-1,4.841003668E0
3.153950708E0,1.737952352E0,4.868291855E0,-9.357933700E-2,5.170058129E0
3.163925708E0,1.773933887E0,4.965460777E0,-3.924457729E-2,5.272967125E0
3.173900708E0,1.694045901E0,5.048758984E0,4.185773060E-2,5.325552634E0
3.183875708E0,1.585813880E0,5.265273094E0,1.285016686E-1,5.500401721E0
3.193849708E0,1.467084765E0,5.336182594E0,1.922138035E-1,5.537520071E0
3.203824708E0,1.396125793E0,5.256792545E0,2.803924382E-1,5.446251465E0
3.213799708E0,1.401798368E0,5.413331032E0,3.692567945E-1,5.604064784E0
3.223774708E0,1.303606510E0,5.762086868E0,4.144251347E-1,5.922227892E0
3.233749708E0,1.221587777E0,6.136473656E0,2.387430221E-1,6.261436245E0
3.243723708E0,1.383968711E0,6.390306950E0,-8.177153021E-2,6.538966194E0
3.253698708E0,1.869502664E0,6.740726948E0,-2.400842011E-1,6.999291423E0
3.263673708E0,2.369277954E0,6.905680180E0,-3.421098888E-1,7.308825894E0
3.273648708E0,2.681114435E0,6.970191479E0,-4.089048803E-1,7.479247761E0
3.283622708E0,2.596132278E0,6.975766182E0,-2.900344133E-1,7.448848004E0
3.293597708E0,2.078133106E0,6.415712833E0,-1.166450605E-1,6.744895436E0
3.303572708E0,1.648131132E0,5.449527264E0,-1.228557304E-1,5.694627043E0
