"Time (s)","Peak-Frequency"
1.893535025E1,9.375000000E1
1.900199587E1,9.375000000E1
1.906713967E1,4.687500000E1
1.913169692E1,9.375000000E1
1.919567396E1,9.375000000E1
1.925971779E1,2.343750000E1
1.932367633E1,1.875000000E2
1.938533792E1,1.875000000E2
1.945122904E1,1.875000000E2
1.951571138E1,1.875000000E2
1.957974850E1,4.687500000E1
1.964369450E1,2.343750000E1
1.970452042E1,2.343750000E1
1.976873938E1,9.375000000E1
1.983510375E1,1.875000000E2
1.989939654E1,1.875000000E2
1.996371554E1,1.875000000E2
2.002378900E1,4.921875000E2
2.009165954E1,4.921875000E2
2.015205863E1,7.031250000E1
2.021873658E1,7.031250000E1
2.027898379E1,4.687500000E1
2.034764183E1,6.796875000E2
2.041172417E1,6.796875000E2
2.047557900E1,6.796875000E2
2.053546704E1,2.343750000E1
2.060206008E1,2.343750000E1
2.066731779E1,7.031250000E1
2.073172817E1,6.796875000E2
2.079568475E1,6.796875000E2
2.085955542E1,7.031250000E1
2.092345813E1,2.343750000E1
2.098549242E1,2.343750000E1
2.105029796E1,4.687500000E2
2.111565746E1,4.687500000E2
2.117553562E1,4.687500000E1
2.124367854E1,2.343750000E1
2.130754996E1,2.343750000E1
2.136880208E1,2.343750000E1
2.143124363E1,4.687500000E1
2.149868400E1,4.687500000E1
2.156374967E1,4.687500000E1
2.162757125E1,9.375000000E1
2.169161696E1,9.375000000E1
2.175213921E1,4.687500000E1
2.181884196E1,4.687500000E1
2.188297946E1,2.343750000E1
2.194766133E1,4.921875000E2
2.201136933E1,4.921875000E2
2.207312133E1,3.750000000E2
2.213543721E1,7.031250000E1
2.220214912E1,7.031250000E1
2.226704238E1,1.171875000E2
2.233169650E1,2.343750000E1
2.239572608E1,2.343750000E1
2.245508796E1,1.171875000E2
2.252349929E1,4.687500000E1
2.258554171E1,4.687500000E1
2.265116617E1,4.687500000E1
2.271554250E1,4.687500000E1
2.277927296E1,2.343750000E1
2.283971654E1,4.687500000E1
2.290719842E1,4.687500000E1
2.296878208E1,9.375000000E1
2.303506292E1,2.343750000E1
2.309953304E1,2.343750000E1
2.316232892E1,2.343750000E1
2.322771563E1,2.343750000E1
2.329160667E1,2.343750000E1
2.335221083E1,2.343750000E1
2.341888133E1,2.343750000E1
2.348161987E1,9.375000000E1
2.354756879E1,9.375000000E1
2.361126837E1,9.375000000E1
2.367276346E1,2.343750000E1
2.373557692E1,2.343750000E1
2.380223554E1,2.343750000E1
2.386720738E1,1.171875000E2
2.393162400E1,1.171875000E2
2.399262146E1,1.171875000E2
2.405936846E1,2.343750000E1
2.412342667E1,9.375000000E1
2.418563229E1,9.375000000E1
2.425107971E1,7.031250000E1
2.431276313E1,7.031250000E1
2.437667500E1,2.343750000E1
2.444359171E1,2.343750000E1
2.450650596E1,2.343750000E1
2.456902204E1,9.375000000E1
2.463562650E1,9.375000000E1
2.469908796E1,9.375000000E1
2.476097892E1,7.031250000E1
2.482752088E1,1.171875000E2
2.489164358E1,1.171875000E2
2.495233846E1,9.375000000E1
2.501904846E1,9.375000000E1
2.507994629E1,9.375000000E1
2.514759004E1,9.375000000E1
2.521170262E1,9.375000000E1
2.527561492E1,9.375000000E1
2.533565563E1,9.375000000E1
2.540238558E1,9.375000000E1
2.546707729E1,1.171875000E2
2.553160538E1,1.406250000E2
2.559568087E1,1.406250000E2
2.565965475E1,1.640625000E2
2.572365875E1,9.375000000E1
2.578567817E1,9.375000000E1
2.585131142E1,1.406250000E2
2.591564746E1,1.406250000E2
2.597960692E1,1.406250000E2
2.604361108E1,1.406250000E2
2.610757579E1,1.406250000E2
2.616902987E1,1.406250000E2
2.623499104E1,1.171875000E2
2.629937875E1,1.171875000E2
2.636367392E1,2.812500000E2
2.642755608E1,7.500000000E2
2.649163188E1,7.500000000E2
2.655238442E1,2.109375000E2
2.661903621E1,2.109375000E2
2.668305196E1,7.031250000E1
2.674759054E1,1.406250000E2
2.681132142E1,1.406250000E2
2.687561163E1,1.406250000E2
2.693577667E1,1.406250000E2
2.700239642E1,1.406250000E2
2.706712096E1,9.375000000E1
2.713155300E1,9.375000000E1
2.719562738E1,9.375000000E1
2.725872596E1,9.375000000E1
2.732364579E1,7.031250000E1
2.738576996E1,7.031250000E1
2.745118212E1,6.093750000E2
2.751558846E1,6.093750000E2
2.757954788E1,4.218750000E2
2.764316658E1,9.375000000E1
2.770748429E1,9.375000000E1
2.776912258E1,2.578125000E2
2.783508163E1,7.031250000E1
2.789959067E1,7.031250000E1
2.796027017E1,1.171875000E2
2.802658696E1,1.171875000E2
2.808844071E1,1.171875000E2
2.815253967E1,7.031250000E1
2.821898854E1,7.031250000E1
2.828314917E1,1.171875000E2
2.834525196E1,9.375000000E1
2.841084642E1,9.375000000E1
2.847519633E1,7.031250000E1
2.853580696E1,1.875000000E2
2.860248146E1,1.875000000E2
2.866711275E1,1.406250000E2
2.873159833E1,7.031250000E1
2.879556629E1,7.031250000E1
2.885959450E1,1.171875000E2
2.892356408E1,9.375000000E1
2.898583229E1,9.375000000E1
2.905101529E1,9.375000000E1
2.911567788E1,9.375000000E1
2.917773454E1,7.031250000E1
2.924361958E1,9.375000000E1
2.930767233E1,9.375000000E1
2.936925388E1,9.375000000E1
2.943497629E1,7.031250000E1
2.949960921E1,7.031250000E1
2.956360362E1,1.171875000E2
2.962773238E1,9.375000000E1
2.969158383E1,9.375000000E1
2.975258375E1,1.171875000E2
2.981915867E1,1.171875000E2
2.988326404E1,9.375000000E1
2.994757863E1,1.406250000E2
3.001159229E1,1.406250000E2
3.007554792E1,9.375000000E1
3.013596567E1,1.406250000E2
3.020258542E1,1.406250000E2
3.026729933E1,9.375000000E1
3.033165563E1,9.375000000E1
3.039565875E1,9.375000000E1
3.045964808E1,7.031250000E1
3.051935658E1,7.031250000E1
3.058593067E1,7.031250000E1
3.065055258E1,1.171875000E2
3.071559121E1,1.171875000E2
3.077959383E1,1.640625000E2
3.084358121E1,1.171875000E2
