timestamps,rec
3.229166667E-3,2.678618301E-3
3.250000000E-3,1.533955568E-3
3.270833333E-3,6.103356136E-4
3.291666667E-3,8.213020919E-5
3.312500000E-3,3.105687938E-5
3.333333333E-3,-5.398200301E-5
3.354166667E-3,-1.848352404E-4
3.375000000E-3,6.407323326E-6
3.395833333E-3,3.847719927E-4
3.416666667E-3,9.654221358E-4
3.437500000E-3,1.028277329E-3
3.458333333E-3,-1.794564159E-4
3.479166667E-3,-1.448088209E-3
3.500000000E-3,-1.777992351E-3
3.520833333E-3,-1.624333556E-3
3.541666667E-3,-1.362943673E-3
3.562500000E-3,-1.428277348E-3
3.583333333E-3,-2.254012274E-3
3.604166667E-3,-3.376968438E-3
3.625000000E-3,-4.072563257E-3
3.645833333E-3,-4.370748065E-3
3.666666667E-3,-4.411788192E-3
3.687500000E-3,-4.197968636E-3
3.708333333E-3,-4.095827229E-3
3.729166667E-3,-4.063141067E-3
3.750000000E-3,-3.814001102E-3
3.770833333E-3,-3.614337416E-3
3.791666667E-3,-3.540595993E-3
3.812500000E-3,-3.335398156E-3
3.833333333E-3,-3.050273517E-3
3.854166667E-3,-2.999861259E-3
3.875000000E-3,-3.207560629E-3
3.895833333E-3,-3.473344026E-3
3.916666667E-3,-3.754503326E-3
3.937500000E-3,-3.776127938E-3
3.958333333E-3,-3.750347067E-3
3.979166667E-3,-4.440783523E-3
4.000000000E-3,-5.405112635E-3
4.020833333E-3,-5.607697181E-3
4.041666667E-3,-5.042080767E-3
4.062500000E-3,-4.225262906E-3
4.083333333E-3,-3.461131826E-3
4.104166667E-3,-2.753116656E-3
4.125000000E-3,-1.940433984E-3
4.145833333E-3,-1.249755151E-3
4.166666667E-3,-9.307102882E-4
4.187500000E-3,-6.064027548E-4
4.208333333E-3,-2.479020040E-4
4.229166667E-3,-1.765358611E-4
4.250000000E-3,-2.690407273E-4
4.270833333E-3,-3.741245600E-4
4.291666667E-3,-5.112423096E-4
4.312500000E-3,-6.828803453E-4
4.333333333E-3,-9.817711543E-4
4.354166667E-3,-1.763885957E-3
4.375000000E-3,-2.903791610E-3
4.395833333E-3,-3.784104716E-3
4.416666667E-3,-4.251721781E-3
4.437500000E-3,-4.268683959E-3
4.458333333E-3,-3.947419580E-3
4.479166667E-3,-3.836391959E-3
4.500000000E-3,-4.176814109E-3
4.520833333E-3,-4.702316131E-3
4.541666667E-3,-5.155494902E-3
4.562500000E-3,-5.609936081E-3
4.583333333E-3,-5.871873349E-3
4.604166667E-3,-5.763381720E-3
4.625000000E-3,-5.405889824E-3
4.645833333E-3,-4.750996362E-3
4.666666667E-3,-4.279483110E-3
4.687500000E-3,-4.304986447E-3
4.708333333E-3,-4.322061781E-3
4.729166667E-3,-4.008498974E-3
4.750000000E-3,-3.132282756E-3
4.770833333E-3,-1.868280466E-3
4.791666667E-3,-9.192252182E-4
4.812500000E-3,-6.414460950E-4
4.833333333E-3,-6.377176032E-4
4.854166667E-3,-1.395058098E-5
4.875000000E-3,1.001850702E-3
4.895833333E-3,1.530627836E-3
4.916666667E-3,1.403923729E-3
4.937500000E-3,6.972252741E-4
